Date,EUR/USD Close,EUR/USD High,EUR/USD Low
1/22/2015,1.1339,1.1651,1.1335
1/23/2015,1.1221,1.1374,1.1115
1/26/2015,1.1265,1.1296,1.1098
1/27/2015,1.1368,1.1423,1.1224
1/28/2015,1.1291,1.1383,1.1282
1/29/2015,1.1316,1.1368,1.1262
1/30/2015,1.1303,1.1364,1.1279
2/2/2015,1.134,1.1362,1.1291
2/3/2015,1.1484,1.1534,1.1313
2/4/2015,1.1397,1.1487,1.1382
2/5/2015,1.1476,1.1499,1.1304
2/6/2015,1.1322,1.1486,1.1312
2/9/2015,1.132,1.136,1.127
2/10/2015,1.1318,1.1345,1.1273
2/11/2015,1.1302,1.1332,1.128
2/12/2015,1.141,1.1423,1.1302
2/13/2015,1.1398,1.1443,1.138
2/16/2015,1.1404,1.143,1.13895
2/17/2015,1.14162,1.1449,1.13221
2/18/2015,1.14009,1.14161,1.1334
2/19/2015,1.13619,1.14501,1.13556
2/20/2015,1.1375,1.14298,1.12792
2/23/2015,1.13325,1.1412,1.12954
2/24/2015,1.13411,1.13581,1.12885
2/25/2015,1.13611,1.139,1.13359
2/26/2015,1.11959,1.138,1.11839
2/27/2015,1.11868,1.12451,1.1176
3/2/2015,1.1182,1.1241,1.116
3/3/2015,1.11763,1.12175,1.11543
3/4/2015,1.1074,1.11866,1.10617
3/5/2015,1.10268,1.11143,1.09876
3/6/2015,1.08496,1.10327,1.08419
3/9/2015,1.08616,1.09065,1.08228
3/10/2015,1.0697,1.08559,1.06928
3/11/2015,1.05407,1.0717,1.0511
3/12/2015,1.06078,1.06837,1.04944
3/13/2015,1.04763,1.06346,1.04625
3/16/2015,1.0577,1.0619,1.0459
3/17/2015,1.05915,1.06508,1.05515
3/18/2015,1.08876,1.104,1.05803
3/19/2015,1.0638,1.092,1.0613
3/20/2015,1.0804,1.08823,1.06557
3/23/2015,1.09623,1.09633,1.07677
3/24/2015,1.09241,1.10292,1.089
3/25/2015,1.0962,1.1015,1.0901
3/26/2015,1.08894,1.10522,1.08566
3/27/2015,1.08962,1.09487,1.08014
3/30/2015,1.08124,1.0896,1.08097
3/31/2015,1.07468,1.08455,1.07133
4/1/2015,1.07589,1.08001,1.07188
4/2/2015,1.0883,1.09054,1.07503
4/3/2015,1.0995,1.1027,1.0864
4/6/2015,1.09224,1.10356,1.091
4/7/2015,1.0822,1.09548,1.08148
4/8/2015,1.07867,1.08875,1.07634
4/9/2015,1.06476,1.079,1.06378
4/10/2015,1.06013,1.06837,1.0568
4/13/2015,1.05751,1.06198,1.052
4/14/2015,1.06524,1.07073,1.05316
4/15/2015,1.06771,1.0702,1.05708
4/16/2015,1.07745,1.08177,1.06246
4/17/2015,1.082,1.08483,1.07348
4/20/2015,1.07358,1.0829,1.07114
4/21/2015,1.0734,1.0781,1.0659
4/22/2015,1.0728,1.0801,1.0706
4/23/2015,1.0826,1.0845,1.06666
4/24/2015,1.0862,1.0902,1.0783
4/27/2015,1.08805,1.0927,1.0818
4/28/2015,1.0968,1.09911,1.08602
4/29/2015,1.1108,1.11878,1.09597
4/30/2015,1.123,1.12661,1.10715
5/1/2015,1.1211,1.129,1.1175
5/4/2015,1.11466,1.12244,1.1123
5/5/2015,1.11948,1.1223,1.10665
5/6/2015,1.1346,1.13702,1.11751
5/7/2015,1.1266,1.13917,1.12375
5/8/2015,1.12065,1.1289,1.11796
5/11/2015,1.11568,1.12064,1.11311
5/12/2015,1.1216,1.1279,1.1135
5/13/2015,1.13477,1.13827,1.12027
5/14/2015,1.1402,1.14447,1.13409
5/15/2015,1.14459,1.1467,1.13238
5/18/2015,1.13094,1.1449,1.1299
5/19/2015,1.11537,1.1327,1.1119
5/20/2015,1.1108,1.11521,1.1062
5/21/2015,1.11221,1.11814,1.10798
5/22/2015,1.10121,1.12081,1.10024
5/25/2015,1.0978,1.101,1.09591
5/26/2015,1.0875,1.09808,1.08635
5/27/2015,1.0902,1.093,1.08195
5/28/2015,1.09398,1.0959,1.08675
5/29/2015,1.09813,1.10062,1.0926
6/1/2015,1.09259,1.099,1.08872
6/2/2015,1.11518,1.1194,1.0916
6/3/2015,1.12683,1.1285,1.108
6/4/2015,1.1243,1.138,1.1223
6/5/2015,1.111,1.12801,1.10499
6/8/2015,1.12822,1.12944,1.10847
6/9/2015,1.1278,1.13453,1.12144
6/10/2015,1.132,1.1386,1.12601
6/11/2015,1.12595,1.13312,1.11824
6/12/2015,1.1252,1.12963,1.11517
6/15/2015,1.1285,1.12944,1.11895
6/16/2015,1.1247,1.13297,1.12052
6/17/2015,1.1335,1.1358,1.1207
6/18/2015,1.1372,1.14361,1.1331
6/19/2015,1.13434,1.14,1.12925
6/22/2015,1.1322,1.14102,1.1312
6/23/2015,1.1162,1.13472,1.1135
6/24/2015,1.1203,1.1235,1.116
6/25/2015,1.12,1.12277,1.1154
6/26/2015,1.1169,1.12196,1.11301
6/29/2015,1.1229,1.1277,1.09549
6/30/2015,1.1144,1.1244,1.11126
7/1/2015,1.1048,1.11712,1.1043
7/2/2015,1.10873,1.11211,1.10326
7/3/2015,1.1067,1.11178,1.10672
7/6/2015,1.1049,1.10952,1.09704
7/7/2015,1.1024,1.1056,1.0917
7/8/2015,1.10683,1.10927,1.09745
7/9/2015,1.1025,1.11248,1.0992
7/10/2015,1.11451,1.1216,1.10453
7/13/2015,1.1011,1.11967,1.09959
7/14/2015,1.1003,1.1084,1.09658
7/15/2015,1.0942,1.10355,1.09301
7/16/2015,1.0875,1.09625,1.08558
7/17/2015,1.0849,1.0907,1.0841
7/20/2015,1.0824,1.087,1.08092
7/21/2015,1.0935,1.09691,1.0812
7/22/2015,1.09138,1.09665,1.08695
7/23/2015,1.0998,1.10177,1.0922
7/24/2015,1.0978,1.09958,1.09255
7/27/2015,1.1094,1.11291,1.09695
7/28/2015,1.1055,1.10994,1.10223
7/29/2015,1.0981,1.1084,1.09672
7/30/2015,1.0927,1.09894,1.08938
7/31/2015,1.0986,1.1114,1.0921
8/3/2015,1.0947,1.09959,1.09414
8/4/2015,1.0888,1.09874,1.0883
8/5/2015,1.0902,1.09369,1.0848
8/6/2015,1.09316,1.09436,1.08736
8/7/2015,1.0963,1.09781,1.0856
8/10/2015,1.1014,1.10413,1.09255
8/11/2015,1.1034,1.10882,1.09608
8/12/2015,1.1165,1.1214,1.10247
8/13/2015,1.1146,1.1189,1.10802
8/14/2015,1.1104,1.1189,1.1098
8/17/2015,1.10809,1.1125,1.1059
8/18/2015,1.1033,1.10934,1.10175
8/19/2015,1.1127,1.1134,1.1018
8/20/2015,1.12022,1.12203,1.11072
8/21/2015,1.136,1.13762,1.123
8/24/2015,1.158,1.17136,1.137
8/25/2015,1.1467,1.16041,1.1397
8/26/2015,1.13232,1.1561,1.13226
8/27/2015,1.12626,1.13641,1.12034
8/28/2015,1.11831,1.131,1.11564
8/31/2015,1.1229,1.12624,1.11635
9/1/2015,1.1298,1.1332,1.12091
9/2/2015,1.1222,1.13102,1.1223
9/3/2015,1.1123,1.12431,1.10877
9/4/2015,1.1138,1.119,1.109
9/7/2015,1.1169,1.11775,1.1122
9/8/2015,1.1205,1.12293,1.11528
9/9/2015,1.1202,1.1217,1.1132
9/10/2015,1.1283,1.1295,1.11718
9/11/2015,1.1336,1.13493,1.12546
9/14/2015,1.13132,1.1373,1.12837
9/15/2015,1.1267,1.13284,1.1259
9/16/2015,1.1278,1.13204,1.12142
9/17/2015,1.142,1.1423,1.1285
9/18/2015,1.1301,1.14602,1.12868
9/21/2015,1.1194,1.133,1.11816
9/22/2015,1.113,1.12073,1.11137
9/23/2015,1.1182,1.12132,1.11057
9/24/2015,1.1225,1.1296,1.1165
9/25/2015,1.11968,1.12131,1.11167
9/28/2015,1.1234,1.12475,1.11469
9/29/2015,1.12619,1.1281,1.11942
9/30/2015,1.1165,1.12613,1.11576
10/1/2015,1.11844,1.1209,1.11352
10/2/2015,1.12038,1.13183,1.11506
10/5/2015,1.1184,1.12892,1.11735
10/6/2015,1.12685,1.1276,1.11724
10/7/2015,1.1247,1.1284,1.1212
10/8/2015,1.1274,1.1328,1.1235
10/9/2015,1.13551,1.13873,1.12675
10/12/2015,1.13654,1.13967,1.1355
10/13/2015,1.13862,1.14109,1.13445
10/14/2015,1.1485,1.1489,1.13798
10/15/2015,1.13771,1.14951,1.13635
10/16/2015,1.13564,1.13949,1.13346
10/19/2015,1.13229,1.1379,1.1306
10/20/2015,1.13448,1.1387,1.13242
10/21/2015,1.134,1.13775,1.13344
10/22/2015,1.11169,1.1351,1.11084
10/23/2015,1.0998,1.11397,1.09967
10/26/2015,1.105,1.10681,1.0994
10/27/2015,1.10384,1.10785,1.10307
10/28/2015,1.09182,1.10956,1.0897
10/29/2015,1.09806,1.09852,1.09022
